开放汉语拆字字典

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本拆字字典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）

［汉字］	［拆字部件］
huo2	〖人 舌 佸〗〖亻 舌 佸〗
gui3	〖人 危 佹〗〖亻 危 佹〗
quan2	〖人 全 佺〗〖亻 全 佺〗
tiao1	〖人 兆 佻〗〖亻 兆 佻〗
jiao3	〖人 交 佼〗〖亻 交 佼〗
ci4	〖人 次 佽〗〖亻 次 佽〗
yi4	〖人 八 月 佾〗〖亻 八 月 佾〗〖人 八 肉 佾〗
shi3	〖人 吏 使〗〖亻 吏 使〗
xing2	〖人 刑 侀〗〖亻 刑 侀〗
shen1	〖人 先 侁〗〖亻 先 侁〗
tuo1	〖人 广 乇 侂〗〖亻 广 乇 侂〗
kan3	〖人 口 川 侃〗〖亻 口 川 侃〗
zhi2	〖人 至 侄〗〖亻 至 侄〗
gai1	〖人 亥 侅〗〖亻 亥 侅〗
lai2	〖木 人 人 來〗〖一 米 来〗
yi2	〖人 夷 侇〗〖亻 夷 侇〗
chi3	〖人 多 侈〗〖亻 多 侈〗
kua1, kua3	〖人 夸 侉〗〖亻 夸 侉〗
guang1	〖人 光 侊〗〖亻 光 侊〗
li4	〖人 列 例〗〖亻 列 例〗
yin1	〖今 云 侌〗
shi4	〖人 寺 侍〗〖亻 寺 侍〗
mi3, mei3	〖人 米 侎〗〖亻 米 侎〗
zhu1	〖人 朱 侏〗〖亻 朱 侏〗
xu4	〖人 血 侐〗〖亻 血 侐〗
you4	〖人 有 侑〗〖亻 有 侑〗
an1	〖人 安 侒〗〖亻 安 侒〗
lu4	〖人 聿 侓〗〖亻 聿 侓〗
mou2	〖人 牟 侔〗〖亻 牟 侔〗
er2	〖人 而 侕〗〖亻 而 侕〗
lun2	〖人 一 冊 侖〗〖人 匕 仑〗
dong4	〖人 同 侗〗〖亻 同 侗〗
cha4	〖人 宅 侘〗〖亻 宅 侘〗
chi4	〖人 式 侙〗〖亻 式 侙〗
xun4	〖人 旬 侚〗〖亻 旬 侚〗
gong1, gong4	〖人 共 供〗〖亻 共 供〗
zhou1	〖人 舟 侜〗〖亻 舟 侜〗
yi1	〖人 衣 依〗〖亻 衣 依〗
ru3	〖人 如 侞〗〖亻 如 侞〗
jian4	〖人 存 侟〗〖亻 存 侟〗
jia4	〖人 西 価〗〖人 介 价〗〖亻 介 价〗
zai4	〖人 再 侢〗〖亻 再 侢〗
ning4	〖人 忘 侫〗〖亻 忘 侫〗
jin3	〖人 尽 侭〗〖亻 尽 侭〗
wu3	〖人 每 侮〗〖亻 每 侮〗
hou2	〖人 乛 一 矢 侯〗〖亻 乛 一 矢 侯〗
jiong3	〖人 君 侰〗〖亻 君 侰〗
cheng3	〖人 呈 侱〗〖亻 呈 侱〗
